loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
9.4525,3.1353189945220947,2.5e-05,0.014846707742558089,25,,,,,,,,,
8.5735,2.16965913772583,5e-05,0.029693415485116177,50,,,,,,,,,
7.5627,1.5648919343948364,7.500000000000001e-05,0.04454012322767426,75,,,,,,,,,
6.6884,1.1602458953857422,0.0001,0.059386830970232354,100,,,,,,,,,
6.1911,1.0374269485473633,0.000125,0.07423353871279044,125,,,,,,,,,
6.0295,1.0138274431228638,0.00015000000000000001,0.08908024645534852,150,,,,,,,,,
5.8039,1.1881266832351685,0.000175,0.10392695419790661,175,,,,,,,,,
5.6607,1.1057655811309814,0.0002,0.11877366194046471,200,,,,,,,,,
5.5252,1.0850005149841309,0.00019999542984085612,0.1336203696830228,225,,,,,,,,,
5.5113,1.3062654733657837,0.00019998171978115157,0.14846707742558088,250,,,,,,,,,
5.4129,1.0058610439300537,0.00019995887107402942,0.16331378516813896,275,,,,,,,,,
5.3682,1.18586003780365,0.00019992688580793423,0.17816049291069705,300,,,,,,,,,
5.2717,1.0422451496124268,0.00019988576690642117,0.19300720065325513,325,,,,,,,,,
5.1802,1.1512784957885742,0.00019983551812788864,0.20785390839581322,350,,,,,,,,,
5.1951,1.046306848526001,0.00019977614406523504,0.2227006161383713,375,,,,,,,,,
5.1533,1.1112738847732544,0.00019970765014543855,0.23754732388092942,400,,,,,,,,,
5.0884,1.0731409788131714,0.00019963004262906156,0.2523940316234875,425,,,,,,,,,
5.0574,1.097038745880127,0.00019954332860967799,0.2672407393660456,450,,,,,,,,,
4.9628,1.100917100906372,0.0001994475160132253,0.2820874471086037,475,,,,,,,,,
5.0201,1.0949640274047852,0.00019934261359727965,0.29693415485116176,500,,,,,,,,,
4.9682,1.0072696208953857,0.00019922863095025588,0.31178086259371984,525,,,,,,,,,
4.966,1.0825459957122803,0.00019910557849053064,0.32662757033627793,550,,,,,,,,,
4.895,0.9753385186195374,0.00019897346746549044,0.341474278078836,575,,,,,,,,,
4.9147,1.107179880142212,0.00019883230995050344,0.3563209858213941,600,,,,,,,,,
4.8595,1.1102734804153442,0.0001986821188478158,0.3711676935639522,625,,,,,,,,,
4.8765,1.0327321290969849,0.0001985229078853724,0.38601440130651027,650,,,,,,,,,
4.8148,0.9411913156509399,0.00019835469161556186,0.40086110904906835,675,,,,,,,,,
4.8402,1.0639930963516235,0.00019817748541388672,0.41570781679162644,700,,,,,,,,,
4.8039,1.080681324005127,0.0001979913054775578,0.4305545245341845,725,,,,,,,,,
4.7274,1.0150989294052124,0.00019779616882401393,0.4454012322767426,750,,,,,,,,,
4.844,1.0069048404693604,0.00019759209328936626,0.4602479400193007,775,,,,,,,,,
4.7303,1.0443024635314941,0.00019737909752676829,0.47509464776185883,800,,,,,,,,,
4.7568,1.1666624546051025,0.0001971572010047106,0.4899413555044169,825,,,,,,,,,
